Reference,Qty,MFG,MFG P/N
"C201,C202,C203,C204,C301",5,Murata Electronics,GRM155Z71A105KE01J
"C401,C402",2,Murata Electronics,GRM0335C1H120FA01D
"C403,C404",2,Murata Electronics,GRM0335C1H150FA01D
"C405,C406,C407,C408,C409,C410",6,Murata Electronics,GRM033Z71A104KE14D
D201,1,onsemi,ESD5Z6.0T1G
D301,1,onsemi,RB520S30T1G
J201,1,Global Connector Technology,USB4730-GF-A-KIT
J202,1,JST,S2B-PH-SM4-TB
J301,1,Wurth Elektronik,61300811121
J401,1,Wurth Elektronik,61300511121
LS301,1,Pui Audio,SMT-0540-T-9-R
N301,1,seeed studio,1_69inch-lcd-module
Q301,1,Toshiba Semiconductor and Storage,"T2N7002AK,LM"
R201,1,YAGEO,RC0201FR-07953RL
"R202,R204,R301,R302,R304,R404",6,YAGEO,RC0201FR-0710KL
R203,1,YAGEO,RC0201FR-0761K9L
R303,1,YAGEO,RC0201FR-071KL
"R401,R403",2,YAGEO,RC0201FR-0722RL
R402,1,YAGEO,RC0201FR-071K1L
U201,1,Texas Instruments,BQ25176MDSGR
U202,1,Texas Instruments,TLV75533PDBVR
U203,1,Texas Instruments,LM66100DCKR
U301,1,STMicroelectronics,LIS3DH
U401,1,STMicroelectronics,STM32L433RCT6
Y401,1,NKG,01-CR3-06-32k768
Y402,1,NKG,S1M